id,restaurant,delivery,adress,district,zip,city,distance,netpincer_rating,netpincer_count,wolt_rating,wolt_count,google_rating,google_count,tripadvisor_rating,tripadvisor_count,I think we can delete this,facebook_rating,facebook_count,facebook_followers,website,menu_language,number_of_pizzas,number_of_wines,imported_wine,delivery_home,delivery_ceu,delivery_medium,delivery_origin,delivery_price,margarita_price,margarita_size,coke_price_500ml,pepsi_price_500ml,size_if_not_500ml,coke_price,pepsi_price,margarita_price_alone
19b,Drum Cafe Lángos és Gulyás Bár,Delivery,Dob utca 2.,7,1072,Budapest,1.1 km,4.5999999999999996,1000,9.1999999999999993,500,4.2,6397,4,2773,yes,4.4000000000000004,72,2474,yes,"Hungarian, English",6,0,no,yes,yes,"Net Pincer, Wolt",Wolt,499,1490,32,NA,350,NA,NA,NA,1989
20a,Élelem Étterem Budapest,No Delivery,Garibaldi utca 5,5,1054,Budapest,600 m,4.2,10,9,100,4.7,51,5,9,yes,4.5999999999999996,149,20096,no,Hungarian,8,0,no,Yes,yes,Net Pincer,restaurant,0,1790,32,NA,NA,NA,NA,NA,1790
20b,Élelem Étterem Budapest,Delivery,Garibaldi utca 5,5,1054,Budapest,600 m,4.2,10,9,100,4.7,51,5,9,yes,4.5999999999999996,149,20096,no,Hungarian,8,0,no,Yes,yes,Net Pincer,Wolt,499,2250,32,NA,NA,NA,NA,NA,2749
21a,Szelet! Pizzéria,No Delivery,Szent István krt. 12,13,1137,Budapest,1.4 km,4.7,184,9.1999999999999993,200,4.3,161,-,-,yes,4.3,7,3462,yes,Hungarian,30,0,no,Yes,yes,"Net Pincer, Wolt",restaurant,0,1490,32,NA,NA,1.25,490,NA,1490
21b,Szelet! Pizzéria,Delivery,Szent István krt. 12,13,1137,Budapest,1.4 km,4.7,184,9.1999999999999993,200,4.3,161,-,-,yes,4.3,7,3462,yes,Hungarian,30,0,no,Yes,yes,"Net Pincer, Wolt",Net Pincér,490,1490,32,NA,NA,1.25,490,NA,1980
21c,Szelet! Pizzéria,Delivery,Szent István krt. 12,13,1137,Budapest,1.4 km,4.7,184,9.1999999999999993,200,4.3,161,-,-,yes,4.3,7,3462,yes,Hungarian,30,0,no,Yes,yes,"Net Pincer, Wolt",Wolt,499,1490,32,NA,NA,1.25,490,NA,1989
22,Király Pizza Debrecen,No Delivery,Batthyány utca 4,-,4024,Debrecen,-,4.3,208,-,-,3.4,186,2.5,3,yes,-,-,557,yes,Hungarian,54,0,no,Yes,no,Net Pincer,restaurant,0,1420,30,NA,NA,NA,NA,NA,1420
23,Pizza Piccante,No Delivery,Csapó utca 95,-,4029,Debrecen,-,4.5,7,-,-,5,9,-,-,yes,5,21,1813,no,Hungarian,26,0,no,Yes,no,Net Pincer,restaurant,0,1390,32,350,NA,NA,NA,NA,1390
24,Casanova Pizza,No Delivery,Baross Gábor utca 27,-,4029,Debrecen,-,3.5,112,-,-,-,-,-,-,yes,1,6,107,no,Hungarian,53,0,no,Yes,no,Net Pincer,restaurant,0,1290,30,350,NA,NA,NA,NA,1290
25,Pizza Holiday Debrecen,No Delivery,Baross Gábor utca 31,-,4029,Debrecen,-,4.8,321,-,-,4.5,477,5,2,yes,-,-,11980,yes,Hungarian,25,0,no,Yes,no,Net Pincer,restaurant,0,1560,30,NA,NA,NA,NA,NA,1560
26,Donkey Pizza,No Delivery,Rákóczi út 50,-,7622,Pécs,-,4.7,480,-,-,4.0999999999999996,46,-,-,yes,4.2,26,1276,yes,Hungarian,31,0,no,Yes,no,Net Pincer,restaurant,0,1400,32,NA,NA,NA,NA,NA,1400
27,Új Duplapizza,No Delivery,Esztergár Lajos utca 10,-,7633,Pécs,-,4.7,215,9.1999999999999993,100,3.6,16,-,-,yes,-,-,1289,yes,Hungarian,38,0,no,Yes,no,Net Pincer,restaurant,0,1740,32,NA,NA,0.33,320,NA,1740
28,Pizza Love,No Delivery,József Attila sugárút 128,-,6723,Szeged,-,4.8,128,-,-,4.7,42,-,-,yes,4.8,32,8012,yes,Hungarian,50,0,no,Yes,no,Net Pincer,restaurant,0,1500,32,NA,NA,NA,NA,NA,1500
29,Rossita,No Delivery,Meggyesalja u. 18,-,3530,Miskolc,-,4.8,636,-,-,4.7,1251,4.5,134,yes,4.9000000000000004,40,7240,yes,Hungarian,37,8,yes,yes,no,Net Pincer,restaurant,0,1350,32,490,NA,NA,NA,NA,1350
30,Az Íz,No Delivery,Hunyadi János u. 56,-,3530,Miskolc,-,4.3,30,-,-,4.8,36,-,-,yes,4.9000000000000004,74,373,yes,Hungarian,30,0,no,yes,no,Net Pincer,restaurant,0,1450,32,350,NA,NA,NA,NA,1450
31,Slambuc,No Delivery,Szendrei János u. 2,-,3526,Miskolc,-,4.9000000000000004,924,-,-,4.0999999999999996,28,-,-,yes,4.7,35,1111,yes,Hungarian,40,0,no,yes,no,"Own, Net Pincér",restaurant,0,1790,32,350,NA,NA,NA,NA,1790
32,Arizona Club,No Delivery,Fehérvári út 80.,-,9028,Győr,-,4.7,306,-,-,4.4000000000000004,193,-,-,yes,4.9000000000000004,14,2826,yes,Hungarian,31,0,no,yes,no,"Own, Net Pincér",restaurant,0,1190,32,450,NA,NA,NA,NA,1190
33,Pizza Banditos,No Delivery,Béke u. 3,-,9025,Győr,-,4.0999999999999996,30,9.1999999999999993,10,5,1,4.5,28,yes,5,9,696,no,Hungarian,23,0,no,yes,no,"Net Pincér, Wolt",restaurant,0,1590,32,NA,340,NA,NA,NA,1590
34,Liget Pizzéria,No Delivery,Liget u. 2,-,9025,Győr,-,4.7,763,-,-,3.9,16,-,-,yes,4.5,12,777,no,Hungarian,14,0,no,yes,no,Net Pincér,restaurant,0,1670,32,NA,350,NA,NA,NA,1670
35,Doni Pizza Győr Plaza,No Delivery,Vasvári u. 1/a,-,9024,Győr,-,4.8,67,-,-,4.0999999999999996,17,-,-,yes,-,-,380,no,Hungarian,23,0,no,yes,no,Net Pincér,restaurant,0,1690,32,NA,470,NA,NA,NA,1690
36,La Pizza di Fetta Pizzaszelet Bár,No Delivery,Fő tér 24,-,9700,Szombathely,-,5,8,-,-,4.4000000000000004,106,-,-,yes,5,1,60,yes,Hungarian,36,0,no,yes,no,Net Pincér,restaurant,0,1190,32,440,NA,NA,NA,NA,1190
37,Magic Pizza,No Delivery,Körmöc u. 5,-,9700,Szombathely,-,4.5999999999999996,813,-,-,3.7,40,-,-,yes,4.5,62,6668,yes,Hungarian,36,0,no,Yes,no,Net Pincér,restaurant,0,1240,32,440,NA,NA,NA,NA,1240
38,Kedves Pizza,No Delivery,Nyár u. 10,-,4400,Nyíregyháza,-,4.9000000000000004,22,-,-,4.7,283,-,-,yes,5,3,1231,yes,Hungarian,19,0,no,Yes,no,"Own, Net Pincér",restaurant,0,1460,32,420,NA,NA,NA,NA,1460
39,Pizza Maffia,No Delivery,Sóstói t 38.,-,4400,Nyíregyháza,-,4.5999999999999996,356,-,-,4.0999999999999996,575,4.5,4,yes,-,-,9548,yes,Hungarian,37,0,no,Yes,no,"Own, Net Pincér",restaurant,0,1680,32,NA,390,NA,NA,NA,1680
40,Pizza Placc,No Delivery,Szabadság út 16,-,2100,Gödöllő,-,4.7,431,-,-,3.7,52,-,-,yes,3.6,25,1167,yes,Hungarian,37,0,no,Yes,no,"Own, Net Pincér",restaurant,0,1360,32,NA,NA,0.33,NA,280,1640
41,BB Box Kitchen,No Delivery,Ady Endre sétány 1-3,-,2100,Gödöllő,-,4.7,47,-,-,-,-,-,-,yes,4,4,834,yes,Hungarian,33,0,no,Yes,no,"Own, Net Pincér",restaurant,0,1350,32,NA,NA,0.33,NA,299,1649
